date,Ridership,weather,day temp,night temp,barclays-center_event_occurred,beacon-theatre_event_occurred,blue-note-jazz-club_event_occurred,brooklyn-bowl_event_occurred,carnegie-hall_event_occurred,city-winery-the-loft_event_occurred,total_comedy,total_events,total_film-screenings,forest-hills-stadium_event_occurred,irving-plaza_event_occurred,kings-theatre_event_occurred,lincoln-center_event_occurred,madison-square-garden_event_occurred,mercury-lounge_event_occurred,metlife-stadium_event_occurred,total_music,palladium-times-square_event_occurred,radio-city-music-hall_event_occurred,sony-hall_event_occurred,terminal-5_event_occurred,the-bowery-ballroom_event_occurred,the-town-hall_event_occurred,yankee-stadium_event_occurred
4/24/20,443956,Light intensity drizzle,46,45,0,0,1,1,0,1,6,155,11,0,0,0,0,0,0,0,72,0,0,1,0,1,1,1
4/25/20,295387,Broken clouds,61,45,0,1,1,1,0,0,9,186,20,0,0,1,0,0,0,0,106,0,0,1,0,1,1,1
4/26/20,218787,Heavy intensity rain,46,50,0,1,1,1,0,0,10,119,4,0,0,1,0,0,0,0,75,0,0,0,0,0,1,1
4/27/20,462888,Drizzle,46,43,0,0,1,0,0,0,12,77,17,0,0,0,0,0,0,0,31,0,0,0,0,1,0,0
4/28/20,489247,Clear sky,63,43,0,0,1,1,0,1,10,83,11,0,0,0,0,0,0,0,45,0,0,1,0,1,0,1
4/29/20,477799,Overcast clouds,57,48,1,0,1,1,0,0,10,110,27,0,0,0,0,0,0,0,57,0,0,0,0,1,0,1
4/30/20,465869,Light intensity drizzle,57,52,0,1,1,1,0,0,6,119,15,0,0,1,0,0,0,0,59,0,0,0,0,1,1,1
5/1/20,494549,Broken clouds,63,55,0,1,1,1,0,1,7,144,30,0,0,0,0,0,0,0,74,0,0,0,0,1,1,0
5/2/20,325865,Few clouds,70,55,0,1,1,1,0,0,6,139,13,0,0,1,0,1,0,1,85,0,1,1,0,1,1,0
5/3/20,258865,Partly cloudy,75,61,0,0,1,1,0,0,6,85,9,0,0,0,0,0,0,0,43,0,0,1,0,1,0,0
5/4/20,511866,Partly cloudy,66,64,0,0,0,0,0,0,10,57,15,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0
5/5/20,522085,Overcast clouds,59,50,0,0,1,0,0,0,7,88,22,0,0,1,0,0,0,0,39,0,0,0,1,1,0,1
5/6/20,508824,Drizzle,52,50,0,0,1,0,0,0,7,84,19,0,0,0,0,0,0,0,42,0,0,1,0,0,0,1
5/7/20,535073,Broken clouds,63,48,0,0,1,1,0,0,6,118,42,0,0,0,0,0,0,0,48,0,0,1,1,1,0,0
5/8/20,526054,Light intensity drizzle,50,52,0,0,1,1,0,0,10,127,23,0,0,1,0,0,0,0,55,0,0,0,1,1,1,1
5/9/20,316883,Partly cloudy,46,37,1,0,1,0,0,0,12,133,29,0,0,0,0,0,0,1,69,0,0,1,1,1,1,1
5/10/20,271947,Overcast clouds,59,41,0,0,1,1,0,1,5,66,14,0,0,0,0,0,0,0,34,0,0,1,0,1,0,1
5/11/20,520873,Few clouds,57,52,0,0,1,0,0,0,8,58,22,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0
5/12/20,553372,Clear sky,57,45,0,0,1,0,1,0,7,75,18,0,0,0,0,1,0,0,30,0,0,0,0,1,1,0
5/13/20,565377,Overcast clouds,59,45,0,0,1,0,0,0,7,75,21,0,0,0,0,0,0,0,40,0,0,0,0,0,1,0
5/14/20,567392,Partly cloudy,63,48,0,0,1,0,0,0,3,114,50,0,0,0,0,0,0,0,49,0,0,0,1,0,1,0
5/15/20,587808,Broken clouds,81,61,0,0,1,0,0,0,9,125,3,0,0,0,0,0,0,0,51,0,1,0,0,1,1,0
5/16/20,360844,Broken clouds,73,70,0,0,1,1,0,0,8,145,37,0,0,0,0,1,0,0,75,0,0,1,1,1,0,0
5/17/20,287418,Broken clouds,64,57,0,0,1,0,0,0,12,79,17,0,0,1,0,0,0,0,34,0,0,1,0,0,1,0
5/18/20,595469,Broken clouds,68,55,0,0,1,0,0,0,10,58,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0
5/19/20,610884,Broken clouds,64,57,0,0,1,0,0,0,7,61,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
5/20/20,623749,Broken clouds,64,54,0,0,1,0,0,0,10,83,0,0,0,0,0,0,0,0,38,0,0,1,0,0,1,0
5/21/20,629298,Clear sky,66,50,0,0,1,1,0,0,4,83,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0,0
5/22/20,633883,Broken clouds,72,57,0,0,1,0,0,0,9,92,0,0,0,0,0,0,0,0,36,0,0,0,0,1,0,1
5/23/20,335830,Heavy intensity rain,68,63,0,0,1,1,0,0,6,85,16,0,0,0,1,0,0,1,39,0,0,1,0,1,0,1
5/24/20,320015,Broken clouds,66,55,0,0,1,1,1,0,7,62,15,0,0,0,0,0,0,1,26,0,0,1,0,1,0,1
5/25/20,393918,Overcast clouds,68,57,0,0,1,0,0,0,10,46,12,0,0,0,0,0,0,0,17,0,0,1,0,1,0,1
5/26/20,656766,Few clouds,75,61,0,0,1,0,0,0,9,25,16,0,0,0,0,1,0,0,22,0,0,0,0,1,0,1
5/27/20,674465,Broken clouds,73,63,0,0,1,1,0,0,6,73,24,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1
5/28/20,658057,Overcast clouds,72,64,0,0,1,1,0,0,4,100,44,0,0,0,0,0,0,0,44,0,0,0,1,1,0,1
5/29/20,657259,Broken clouds,77,66,0,0,1,1,0,0,6,89,26,0,0,0,0,0,0,0,45,0,1,0,0,1,0,0
5/30/20,426737,Clear sky,81,68,0,1,1,0,0,0,4,103,18,0,0,0,1,0,0,0,61,0,1,0,1,1,1,0
5/31/20,344426,Clear sky,70,63,0,0,1,0,0,0,7,67,11,0,0,0,0,0,0,0,32,0,0,1,0,0,0,0
6/1/20,687162,Broken clouds,68,54,0,0,1,0,0,0,10,43,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
6/2/20,693760,Overcast clouds,70,61,0,1,1,0,0,0,10,51,7,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0
6/3/20,681714,Light intensity drizzle,79,63,1,1,1,1,0,1,7,62,13,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
6/4/20,726672,Few clouds,84,70,0,0,1,1,0,1,5,76,2,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0
6/5/20,703576,Drizzle,75,70,0,1,1,1,0,0,6,90,1,0,0,0,0,1,0,0,42,0,0,1,1,1,1,1
6/6/20,464198,Broken clouds,84,70,0,0,1,0,0,0,6,93,14,0,0,0,0,1,0,0,47,0,0,0,1,1,1,1
6/7/20,377990,Few clouds,75,68,0,0,1,0,0,0,8,52,5,0,0,0,0,0,0,0,18,0,0,1,0,0,0,1
6/8/20,804542,Clear sky,75,63,0,0,0,0,0,0,10,38,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
6/9/20,842306,Clear sky,86,66,0,0,1,0,0,0,9,56,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1
6/10/20,857015,Broken clouds,79,75,0,0,1,0,0,0,6,70,31,0,0,0,0,0,0,0,19,0,0,0,0,1,0,1
6/11/20,818297,Heavy intensity rain,79,73,0,0,1,0,0,0,3,65,24,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1
6/12/20,896658,Few clouds,84,72,1,0,1,0,0,0,7,88,12,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0
6/13/20,545316,Clear sky,72,66,0,0,1,0,0,0,6,74,0,1,0,1,0,0,0,1,36,0,0,1,0,0,0,0
6/14/20,430439,Few clouds,70,59,0,0,1,0,0,0,8,55,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0
6/15/20,897112,Broken clouds,73,63,0,0,0,0,0,0,8,45,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
6/16/20,932671,Partly cloudy,75,61,0,0,1,0,0,0,9,75,35,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
6/17/20,948461,Broken clouds,77,63,1,1,1,1,0,0,6,76,28,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0
6/18/20,942382,Drizzle,73,66,0,0,1,1,0,0,6,93,37,1,0,0,0,0,0,0,24,0,0,0,1,1,0,0
6/19/20,986929,Broken clouds,79,68,0,0,1,0,0,0,7,118,24,1,0,0,0,1,0,0,41,0,1,0,0,0,0,0
6/20/20,576075,Broken clouds,82,70,1,0,1,0,0,0,3,92,28,1,0,0,0,1,0,0,38,0,1,1,1,0,0,0
6/21/20,449497,Clear sky,84,72,0,0,1,0,0,0,9,81,32,0,0,0,0,1,0,0,24,0,0,1,0,1,0,0
6/22/20,1000046,Clear sky,88,73,0,0,0,0,0,0,8,49,11,0,0,0,1,1,0,0,15,0,0,1,0,1,1,1
6/23/20,1050786,Broken clouds,84,75,0,0,1,0,0,0,9,48,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1
6/24/20,1068333,Partly cloudy,88,75,0,0,1,0,0,0,6,66,24,0,0,0,0,0,0,0,19,0,1,1,0,1,0,1
6/25/20,1078796,Broken clouds,86,73,0,0,0,0,0,0,0,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/20,1102382,Clear sky,86,72,0,0,0,0,0,0,1,59,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6/27/20,615398,Overcast clouds,82,75,0,0,0,0,0,0,0,53,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6/28/20,535898,Moderate rain,84,75,0,0,0,0,0,0,0,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6/29/20,1100769,Few clouds,84,72,0,0,0,0,0,0,0,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/30/20,1113124,Moderate rain,77,70,0,0,0,0,0,0,0,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/20,1120537,Few clouds,81,70,0,0,0,0,0,0,1,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/2/20,1170483,Clear sky,90,72,0,0,0,0,0,0,0,47,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/20,851877,Partly cloudy,90,79,0,0,0,0,0,0,2,47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/4/20,591605,Few clouds,84,70,1,0,0,0,0,0,0,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/20,533692,Partly cloudy,90,73,0,0,0,0,0,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/20,1084956,Clear sky,90,79,0,0,0,0,0,0,0,46,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/20,1157185,Partly cloudy,81,72,0,0,0,0,0,0,0,58,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/8/20,1172279,Broken clouds,82,75,0,0,0,0,0,0,1,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/9/20,1211280,Clear sky,88,75,0,0,0,0,0,0,0,87,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7/10/20,1030632,Thunderstorm with heavy rain,73,75,0,0,0,0,0,0,2,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/11/20,692977,Moderate rain,81,73,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7/12/20,628187,Clear sky,88,75,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
