date,total_events
2022-08-05,176.0
2022-08-06,262.0
2022-08-07,153.0
2022-08-08,97.0
2022-08-09,108.0
2022-08-10,133.0
2022-08-11,177.0
2022-08-12,188.0
2022-08-13,244.0
2022-08-14,169.0
2022-08-15,108.0
2022-08-16,112.0
2022-08-17,133.0
2022-08-18,177.0
2022-08-19,190.0
2022-08-20,255.0
2022-08-21,180.0
2022-08-22,82.0
2022-08-23,112.0
2022-08-24,132.0
2022-08-25,158.0
2022-08-26,181.0
2022-08-27,246.0
2022-08-28,177.0
2022-08-29,85.0
2022-08-30,108.0
2022-08-31,129.0
2022-09-01,128.0
2022-09-02,159.0
2022-09-03,204.0
2022-09-04,145.0
2022-09-05,78.0
2022-09-06,88.0
2022-09-07,139.0
2022-09-08,159.0
2022-09-09,197.0
2022-09-10,251.0
2022-09-11,153.0
2022-09-12,117.0
2022-09-13,118.0
2022-09-14,145.0
2022-09-15,178.0
2022-09-16,225.0
2022-09-17,266.0
2022-09-18,195.0
2022-09-19,121.0
2022-09-20,144.0
2022-09-21,162.0
2022-09-22,186.0
2022-09-23,215.0
2022-09-24,245.0
2022-09-25,42.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,177.0
2022-09-30,204.0
2022-10-01,236.0
2022-10-02,162.0
2022-10-03,104.0
2022-10-04,114.0
2022-10-05,144.0
2022-10-06,166.0
2022-10-07,215.0
2022-10-08,232.0
2022-10-09,173.0
2022-10-10,108.0
2022-10-11,120.0
2022-10-12,142.0
2022-10-13,167.0
2022-10-14,185.0
2022-10-15,245.0
2022-10-16,186.0
2022-10-17,98.0
2022-10-18,129.0
2022-10-19,156.0
2022-10-20,185.0
2022-10-21,216.0
2022-10-22,255.0
2022-10-23,167.0
2022-10-24,105.0
2022-10-25,147.0
2022-10-26,152.0
2022-10-27,178.0
2022-10-28,238.0
2022-10-29,292.0
2022-10-30,181.0
2022-10-31,127.0
2022-11-01,97.0
2022-11-02,134.0
2022-11-03,163.0
2022-11-04,194.0
2022-11-05,256.0
2022-11-06,154.0
2022-11-07,118.0
2022-11-08,106.0
2022-11-09,153.0
2022-11-10,174.0
2022-11-11,199.0
2022-11-12,225.0
2022-11-13,171.0
2022-11-14,95.0
2022-11-15,115.0
2022-11-16,130.0
2022-11-17,163.0
2022-11-18,198.0
2022-11-19,223.0
2022-11-20,171.0
2022-11-21,107.0
2022-11-22,109.0
2022-11-23,127.0
2022-11-24,35.0
2022-11-25,146.0
2022-11-26,176.0
2022-11-27,122.0
2022-11-28,87.0
2022-11-29,102.0
2022-11-30,136.0
2022-12-01,169.0
2022-12-02,204.0
2022-12-03,226.0
2022-12-04,160.0
2022-12-05,117.0
2022-12-06,112.0
2022-12-07,146.0
2022-12-08,163.0
2022-12-09,204.0
2022-12-10,254.0
2022-12-11,187.0
2022-12-12,96.0
2022-12-13,118.0
2022-12-14,137.0
2022-12-15,160.0
2022-12-16,218.0
2022-12-17,235.0
2022-12-18,167.0
2022-12-19,107.0
2022-12-20,109.0
2022-12-21,116.0
2022-12-22,126.0
2022-12-23,127.0
2022-12-24,85.0
2022-12-25,47.0
2022-12-26,63.0
2022-12-27,80.0
2022-12-28,98.0
2022-12-29,124.0
2022-12-30,149.0
2022-12-31,255.0
2023-01-01,74.0
2023-01-02,58.0
2023-01-03,61.0
2023-01-04,90.0
2023-01-05,120.0
2023-01-06,156.0
2023-01-07,184.0
2023-01-08,120.0
2023-01-09,72.0
2023-01-10,97.0
2023-01-11,109.0
2023-01-12,150.0
2023-01-13,177.0
2023-01-14,204.0
2023-01-15,166.0
2023-01-16,91.0
2023-01-17,93.0
2023-01-18,123.0
2023-01-19,143.0
2023-01-20,196.0
2023-01-21,208.0
2023-01-22,143.0
2023-01-23,85.0
2023-01-24,110.0
2023-01-25,123.0
2023-01-26,167.0
2023-01-27,195.0
2023-01-28,229.0
2023-01-29,155.0
2023-01-30,83.0
2023-01-31,108.0
2023-02-01,95.0
2023-02-02,139.0
2023-02-03,199.0
2023-02-04,215.0
2023-02-05,150.0
2023-02-06,100.0
2023-02-07,109.0
2023-02-08,123.0
2023-02-09,167.0
2023-02-10,192.0
2023-02-11,243.0
2023-02-12,131.0
2023-02-13,103.0
2023-02-14,165.0
2023-02-15,135.0
2023-02-16,176.0
2023-02-17,208.0
2023-02-18,247.0
2023-02-19,163.0
2023-02-20,91.0
2023-02-21,118.0
2023-02-22,141.0
2023-02-23,161.0
2023-02-24,210.0
2023-02-25,224.0
2023-02-26,135.0
2023-02-27,115.0
2023-02-28,130.0
2023-03-01,118.0
2023-03-02,160.0
2023-03-03,197.0
2023-03-04,216.0
2023-03-05,146.0
2023-03-06,76.0
2023-03-07,98.0
2023-03-08,129.0
2023-03-09,129.0
2023-03-10,157.0
2023-03-11,212.0
2023-03-12,134.0
2023-03-13,70.0
2023-03-14,80.0
2023-03-15,116.0
2023-03-16,123.0
2023-03-17,146.0
2023-03-18,180.0
2023-03-19,117.0
2023-03-20,67.0
2023-03-21,72.0
2023-03-22,86.0
2023-03-23,115.0
2023-03-24,136.0
2023-03-25,164.0
2023-03-26,101.0
2023-03-27,64.0
2023-03-28,61.0
2023-03-29,86.0
2023-03-30,112.0
2023-03-31,119.0
2023-04-01,127.0
2023-04-02,83.0
2023-04-03,49.0
2023-04-04,47.0
2023-04-05,59.0
2023-04-06,64.0
2023-04-07,89.0
2023-04-08,96.0
2023-04-09,53.0
2023-04-10,36.0
2023-04-11,44.0
2023-04-12,55.0
2023-04-13,74.0
2023-04-14,88.0
2023-04-15,117.0
2023-04-16,66.0
2023-04-17,37.0
2023-04-18,50.0
2023-04-19,58.0
2023-04-20,73.0
2023-04-21,92.0
2023-04-22,122.0
2023-04-23,81.0
2023-04-24,35.0
2023-04-25,42.0
2023-04-26,56.0
2023-04-27,62.0
2023-04-28,89.0
2023-04-29,101.0
2023-04-30,56.0
2023-05-01,26.0
2023-05-02,28.0
2023-05-03,41.0
2023-05-04,43.0
2023-05-05,66.0
2023-05-06,80.0
2023-05-07,47.0
2023-05-08,24.0
2023-05-09,28.0
2023-05-10,45.0
2023-05-11,56.0
2023-05-12,59.0
2023-05-13,69.0
2023-05-14,40.0
2023-05-15,21.0
2023-05-16,25.0
2023-05-17,38.0
2023-05-18,39.0
2023-05-19,62.0
2023-05-20,80.0
2023-05-21,49.0
2023-05-22,19.0
2023-05-23,28.0
2023-05-24,30.0
2023-05-25,29.0
2023-05-26,37.0
2023-05-27,44.0
2023-05-28,34.0
2023-05-29,11.0
2023-05-30,19.0
2023-05-31,29.0
2023-06-01,26.0
