date,ridership
1/3/2022,2168229
1/4/2022,2289352
1/5/2022,2267942
1/6/2022,2391176
1/7/2022,2121941
1/8/2022,1486065
1/9/2022,1102472
1/10/2022,2347323
1/11/2022,2266378
1/12/2022,2459224
1/13/2022,2524197
1/14/2022,2522972
1/15/2022,1434676
1/16/2022,1165626
1/17/2022,1600048
1/18/2022,2541044
1/19/2022,2642129
1/20/2022,2545486
1/21/2022,2565781
1/22/2022,1583650
1/23/2022,1245716
1/24/2022,2536827
1/25/2022,2701246
1/26/2022,2711803
1/27/2022,2724979
1/28/2022,2703403
1/29/2022,999347
1/30/2022,1262477
1/31/2022,2575762
2/1/2022,2635083
2/2/2022,2940152
2/3/2022,2914198
2/4/2022,2725725
2/5/2022,1792780
2/6/2022,1323892
2/7/2022,2784230
2/8/2022,3016648
2/9/2022,3088775
2/10/2022,3112489
2/11/2022,3015472
2/12/2022,2026308
2/13/2022,1349864
2/14/2022,2907825
2/15/2022,3030742
2/16/2022,3100639
2/17/2022,3109956
2/18/2022,2953785
2/19/2022,1792136
2/20/2022,1477125
2/21/2022,1942267
2/22/2022,2669508
2/23/2022,2894245
2/24/2022,2858146
2/25/2022,2575630
2/26/2022,1824833
2/27/2022,1403227
2/28/2022,2915786
3/1/2022,3138181
3/2/2022,3208166
3/3/2022,3207495
3/4/2022,3077537
3/5/2022,1955535
3/6/2022,1444501
3/7/2022,2980920
3/8/2022,3244473
3/9/2022,3113559
3/10/2022,3339363
3/11/2022,3195956
3/12/2022,1663893
3/13/2022,1479406
3/14/2022,3008800
3/15/2022,3275906
3/16/2022,3332335
3/17/2022,3175784
3/18/2022,3275433
3/19/2022,2001839
3/20/2022,1656673
3/21/2022,3034759
3/22/2022,3276940
3/23/2022,3275708
3/24/2022,3212181
3/25/2022,3218970
3/26/2022,2024596
3/27/2022,1534056
3/28/2022,2989874
3/29/2022,3291883
3/30/2022,3336073
3/31/2022,3323135
4/1/2022,3237107
4/2/2022,2128435
4/3/2022,1463932
4/4/2022,3127667
4/5/2022,3356454
4/6/2022,3311547
4/7/2022,3307076
4/8/2022,3347754
4/9/2022,2190396
4/10/2022,1707748
4/11/2022,3205728
4/12/2022,3078069
4/13/2022,3220964
4/14/2022,3297697
4/15/2022,2761532
4/16/2022,1986306
4/17/2022,1512633
4/18/2022,2676254
4/19/2022,2962130
4/20/2022,3098046
4/21/2022,3033422
4/22/2022,2985684
4/23/2022,2109188
4/24/2022,1655860
4/25/2022,3026541
4/26/2022,3281657
4/27/2022,3432282
4/28/2022,3404938
4/29/2022,3257634
4/30/2022,2108746
5/1/2022,1683953
5/2/2022,2732825
5/3/2022,3402882
5/4/2022,3364902
5/5/2022,3502522
5/6/2022,3190556
5/7/2022,1842808
5/8/2022,1582133
5/9/2022,3114506
5/10/2022,3412902
5/11/2022,3440378
5/12/2022,3430104
5/13/2022,3252002
5/14/2022,2149046
5/15/2022,1760359
5/16/2022,3080043
5/17/2022,3536021
5/18/2022,3605606
5/19/2022,3467327
5/20/2022,3271914
5/21/2022,2324245
5/22/2022,1760638
5/23/2022,3111755
5/24/2022,3378506
5/25/2022,3426530
5/26/2022,3341059
5/27/2022,3031130
5/28/2022,1872775
5/29/2022,1755236
5/30/2022,1694970
5/31/2022,3176109
6/1/2022,3381297
6/2/2022,3351902
6/3/2022,3283271
6/4/2022,2178024
6/5/2022,1724983
6/6/2022,3092181
6/7/2022,3392224
6/8/2022,3492805
6/9/2022,3297157
6/10/2022,3376125
6/11/2022,2231451
6/12/2022,1674607
6/13/2022,3168681
6/14/2022,3494822
6/15/2022,3526802
6/16/2022,3409624
6/17/2022,3247379
6/18/2022,2186635
6/19/2022,1725762
6/20/2022,2460659
6/21/2022,3339793
6/22/2022,3357113
6/23/2022,3407485
6/24/2022,3296412
6/25/2022,2286963
6/26/2022,2011977
6/27/2022,2932598
6/28/2022,3248338
6/29/2022,3249261
6/30/2022,3151572
7/1/2022,2827549
7/2/2022,1847093
7/3/2022,1654774
7/4/2022,1608084
7/5/2022,2802814
7/6/2022,3066462
7/7/2022,3115604
7/8/2022,2902322
7/9/2022,2061419
7/10/2022,1681041
7/11/2022,2876587
7/12/2022,3148320
7/13/2022,3229387
7/14/2022,3203104
7/15/2022,3021651
7/16/2022,2093206
7/17/2022,1674922
7/18/2022,2720012
7/19/2022,3169016
7/20/2022,3190942
7/21/2022,3109097
7/22/2022,2942752
7/23/2022,2028696
7/24/2022,1596195
7/25/2022,2727722
7/26/2022,3175001
7/27/2022,3232796
7/28/2022,3151913
7/29/2022,2932846
7/30/2022,2074421
7/31/2022,1649097
8/1/2022,2739262
8/2/2022,3070101
8/3/2022,3124038
8/4/2022,3049076
8/5/2022,2822155
8/6/2022,1999580
8/7/2022,1542311
8/8/2022,2705428
8/9/2022,3013784
8/10/2022,3134434
8/11/2022,3093548
8/12/2022,2963913
8/13/2022,2089217
8/14/2022,1677803
8/15/2022,2768347
8/16/2022,3045892
8/17/2022,3074027
8/18/2022,3077928
8/19/2022,2918737
8/20/2022,2038622
8/21/2022,1619422
8/22/2022,2622885
8/23/2022,2992615
8/24/2022,3020710
8/25/2022,3090901
8/26/2022,2863653
8/27/2022,2066542
