date,weather,high_temp,low_temp
2021-04-30,Few clouds,+68°,+66°
2021-05-01,Clear sky,+63°,+46°
2021-05-02,Broken clouds,+77°,+57°
2021-05-03,Overcast clouds,+63°,+63°
2021-05-04,Broken clouds,+70°,+55°
2021-05-05,Heavy intensity rain,+59°,+55°
2021-05-06,Clear sky,+64°,+52°
2021-05-07,Broken clouds,+63°,+54°
2021-05-08,Light intensity drizzle,+52°,+52°
2021-05-09,Overcast clouds,+61°,+48°
2021-05-10,Overcast clouds,+59°,+48°
2021-05-11,Overcast clouds,+64°,+52°
2021-05-12,Few clouds,+64°,+50°
2021-05-13,Few clouds,+68°,+55°
2021-05-14,Clear sky,+73°,+57°
2021-05-15,Few clouds,+73°,+61°
2021-05-16,Overcast clouds,+72°,+63°
2021-05-17,Few clouds,+75°,+61°
2021-05-18,Partly cloudy,+81°,+64°
2021-05-19,Clear sky,+86°,+70°
2021-05-20,Few clouds,+73°,+66°
2021-05-21,Clear sky,+77°,+61°
2021-05-22,Broken clouds,+91°,+68°
2021-05-23,Broken clouds,+90°,+75°
2021-05-24,Overcast clouds,+66°,+68°
2021-05-25,Few clouds,+72°,+57°
2021-05-26,Few clouds,+86°,+66°
2021-05-27,Clear sky,+82°,+70°
2021-05-28,Partly cloudy,+66°,+63°
2021-05-29,Light intensity drizzle,+50°,+48°
2021-05-30,Light intensity drizzle,+50°,+48°
2021-05-31,Overcast clouds,+64°,+50°
2021-06-01,Broken clouds,+75°,+59°
2021-06-02,Broken clouds,+72°,+63°
2021-06-03,Overcast clouds,+72°,+61°
2021-06-04,Light rain,+75°,+68°
2021-06-05,Clear sky,+90°,+66°
2021-06-06,Few clouds,+90°,+77°
2021-06-07,Partly cloudy,+86°,+77°
2021-06-08,Heavy rain in places,+82°,+77°
2021-06-09,Partly cloudy,+88°,+73°
2021-06-10,Broken clouds,+81°,+77°
2021-06-11,Overcast clouds,+73°,+63°
2021-06-12,Overcast clouds,+70°,+64°
2021-06-13,Overcast clouds,+75°,+64°
2021-06-14,Heavy rain in places,+68°,+66°
2021-06-15,Few clouds,+79°,+66°
2021-06-16,Clear sky,+77°,+66°
2021-06-17,Clear sky,+77°,+64°
2021-06-18,Partly cloudy,+82°,+66°
2021-06-19,Partly cloudy,+90°,+72°
2021-06-20,Few clouds,+84°,+70°
2021-06-21,Broken clouds,+84°,+75°
2021-06-22,Thunderstorm with heavy rain,+64°,+77°
2021-06-23,Overcast clouds,+73°,+59°
2021-06-24,Few clouds,+75°,+64°
2021-06-25,Broken clouds,+79°,+63°
2021-06-26,Broken clouds,+79°,+70°
2021-06-27,Broken clouds,+84°,+75°
2021-06-28,Partly cloudy,+90°,+79°
2021-06-29,Few clouds,+95°,+82°
2021-06-30,Few clouds,+97°,+84°
2021-07-01,Drizzle,+79°,+79°
2021-07-02,Heavy rain in places,+77°,+72°
2021-07-03,Moderate rain,+63°,+63°
2021-07-04,Light intensity shower rain,+75°,+63°
2021-07-05,Light intensity shower rain,+81°,+68°
2021-07-06,Partly cloudy,+91°,+75°
2021-07-07,Few clouds,+90°,+75°
2021-07-08,Thunderstorm with rain,+82°,+77°
2021-07-09,Partly cloudy,+82°,+72°
2021-07-10,Light rain,+77°,+75°
2021-07-11,Heavy rain in places,+73°,+72°
2021-07-12,Thunderstorm with rain,+82°,+73°
2021-07-13,Broken clouds,+75°,+72°
2021-07-14,Few clouds,+86°,+72°
2021-07-15,Broken clouds,+84°,+75°
2021-07-16,Few clouds,+90°,+79°
2021-07-17,Light intensity shower rain,+86°,+79°
2021-07-18,Broken clouds,+81°,+75°
2021-07-19,Broken clouds,+77°,+73°
2021-07-20,Few clouds,+86°,+75°
2021-07-21,Thunderstorm with rain,+79°,+77°
2021-07-22,Broken clouds,+81°,+70°
2021-07-23,Few clouds,+81°,+70°
2021-07-24,Few clouds,+81°,+70°
2021-07-25,Broken clouds,+81°,+73°
2021-07-26,Partly cloudy,+88°,+77°
2021-07-27,Few clouds,+88°,+77°
2021-07-28,Few clouds,+79°,+73°
2021-07-29,Drizzle,+75°,+72°
2021-07-30,Clear sky,+81°,+72°
2021-07-31,Partly cloudy,+75°,+64°
2021-08-01,Broken clouds,+73°,+70°
2021-08-02,Few clouds,+77°,+68°
2021-08-03,Broken clouds,+77°,+68°
2021-08-04,Broken clouds,+73°,+70°
2021-08-05,Overcast clouds,+77°,+68°
2021-08-06,Few clouds,+86°,+72°
2021-08-07,Broken clouds,+86°,+75°
2021-08-08,Heavy rain in places,+72°,+73°
2021-08-09,Broken clouds,+79°,+70°
2021-08-10,Broken clouds,+81°,+73°
2021-08-11,Broken clouds,+90°,+75°
2021-08-12,Clear sky,+93°,+77°
2021-08-13,Clear sky,+93°,+82°
2021-08-14,Thunderstorm with rain,+86°,+82°
2021-08-15,Few clouds,+82°,+73°
2021-08-16,Overcast clouds,+81°,+72°
2021-08-17,Overcast clouds,+75°,+73°
2021-08-18,Broken clouds,+81°,+73°
2021-08-19,Overcast clouds,+84°,+77°
2021-08-20,Drizzle,+81°,+77°
2021-08-21,Broken clouds,+82°,+75°
2021-08-22,Heavy intensity rain,+73°,+75°
2021-08-23,Heavy rain in places,+79°,+72°
2021-08-24,Clear sky,+88°,+75°
2021-08-25,Partly cloudy,+90°,+77°
2021-08-26,Clear sky,+90°,+81°
2021-08-27,Few clouds,+90°,+81°
2021-08-28,Drizzle,+73°,+77°
2021-08-29,Overcast clouds,+75°,+70°
2021-08-30,Partly cloudy,+82°,+75°
2021-08-31,Broken clouds,+84°,+77°
2021-09-01,Heavy intensity rain,+70°,+75°
2021-09-02,Clear sky,+75°,+64°
2021-09-03,Overcast clouds,+72°,+64°
2021-09-04,Partly cloudy,+77°,+64°
2021-09-05,Drizzle,+73°,+68°
2021-09-06,Clear sky,+81°,+72°
2021-09-07,Clear sky,+79°,+70°
2021-09-08,Light intensity shower rain,+79°,+72°
2021-09-09,Heavy intensity rain,+72°,+73°
2021-09-10,Clear sky,+73°,+68°
2021-09-11,Broken clouds,+75°,+64°
2021-09-12,Few clouds,+82°,+70°
2021-09-13,Broken clouds,+82°,+77°
2021-09-14,Partly cloudy,+77°,+73°
2021-09-15,Few clouds,+84°,+73°
2021-09-16,Overcast clouds,+73°,+72°
2021-09-17,Overcast clouds,+73°,+70°
2021-09-18,Few clouds,+81°,+72°
2021-09-19,Clear sky,+75°,+72°
2021-09-20,Broken clouds,+73°,+64°
2021-09-21,Broken clouds,+73°,+66°
2021-09-22,Few clouds,+77°,+72°
2021-09-23,Light rain,+77°,+75°
2021-09-24,Clear sky,+73°,+66°
2021-09-25,Clear sky,+75°,+63°
2021-09-26,Partly cloudy,+72°,+64°
2021-09-27,Clear sky,+79°,+63°
2021-09-28,Heavy rain in places,+72°,+70°
2021-09-29,Overcast clouds,+66°,+59°
2021-09-30,Broken clouds,+64°,+61°
2021-10-01,Clear sky,+66°,+57°
2021-10-02,Partly cloudy,+73°,+57°
2021-10-03,Few clouds,+75°,+64°
2021-10-04,Light intensity drizzle,+68°,+70°
2021-10-05,Overcast clouds,+64°,+63°
2021-10-06,Overcast clouds,+68°,+63°
2021-10-07,Broken clouds,+70°,+64°
2021-10-08,Partly cloudy,+73°,+64°
2021-10-09,Broken clouds,+66°,+64°
2021-10-10,Drizzle,+63°,+63°
2021-10-11,Broken clouds,+70°,+63°
2021-10-12,Overcast clouds,+70°,+63°
2021-10-13,Overcast clouds,+70°,+63°
2021-10-14,Partly cloudy,+75°,+66°
2021-10-15,Broken clouds,+75°,+64°
2021-10-16,Broken clouds,+73°,+68°
2021-10-17,Few clouds,+63°,+57°
2021-10-18,Few clouds,+59°,+54°
2021-10-19,Clear sky,+64°,+50°
2021-10-20,Clear sky,+73°,+59°
2021-10-21,Few clouds,+72°,+63°
2021-10-22,Broken clouds,+66°,+64°
2021-10-23,Overcast clouds,+57°,+55°
2021-10-24,Broken clouds,+57°,+52°
2021-10-25,Broken clouds,+72°,+59°
2021-10-26,Drizzle,+61°,+61°
2021-10-27,Broken clouds,+59°,+54°
2021-10-28,Overcast clouds,+55°,+52°
2021-10-29,Overcast clouds,+54°,+52°
2021-10-30,Few clouds,+63°,+54°
2021-10-31,Broken clouds,+63°,+55°
2021-11-01,Clear sky,+57°,+55°
2021-11-02,Overcast clouds,+52°,+48°
2021-11-03,Clear sky,+50°,+45°
2021-11-04,Broken clouds,+48°,+41°
2021-11-05,Clear sky,+50°,+43°
2021-11-06,Clear sky,+50°,+41°
2021-11-07,Broken clouds,+54°,+43°
2021-11-08,Clear sky,+61°,+46°
2021-11-09,Clear sky,+66°,+52°
2021-11-10,Clear sky,+64°,+55°
2021-11-11,Broken clouds,+57°,+48°
2021-11-12,Moderate rain,+61°,+59°
2021-11-13,Overcast clouds,+59°,+52°
2021-11-14,Overcast clouds,+48°,+41°
2021-11-15,Overcast clouds,+46°,+43°
2021-11-16,Partly cloudy,+48°,+41°
2021-11-17,Overcast clouds,+54°,+39°
